Category,Brand,Model,Product Name,SKU Variation,Product Link,Description,Specification
Hardware / Fasteners / Screws / Wood Screws,GRK Fasteners,100101,#9 x 2-1/2 in. Star Drive Torx Bugle Head R4 Multi-Purpose Wood Screw (300-Pack),2-1/2 in~~300~~#9,https://www.homedepot.com/p/GRK-Fasteners-9-x-2-1-2-in-Star-Drive-Torx-Bugle-Head-R4-Multi-Purpose-Wood-Screw-300-Pack-100101/203533402,"About This Product
GRKs R4 Multi-Purpose Framing Screw has 6 self-contained cutting pockets which act like a router and transport the drill dust away from the edge of the screw hole. They also widen the countersink hole only around the head shape. The screw head top closes the hole exactly, leaving no damaged fibers around the wider area of the head.
Highlights:
- Faster Drive for Improved Productivity
- Fast Bite Tip provides a fast start for one-step installation
- For interior / exterior use
For use in wood, particle-board, cement fiberboard, plastic, sheet metal Star drive eliminates stripping for improved productivity Zip-Tip allows for no-pre-drilling and 1 step application Self-tapping No pre-drilling No stripped heads Common project applications: remodeling, fencing, storage, cabinets, framing
Product Information
Internet # 203533402 Model # 100101 Store SKU # 489745 Store SO SKU # 1001005824","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Polymeric Zinc
  - Fastener Type: Wood Screw
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 300
  - Product Weight (lb.): 0.0121 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 2.2 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 12 TPI

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Screw Length: 2-1/2 in
  - Size: #9
"
Hardware / Fasteners / Screws / Structural Screws,GRK Fasteners,10273,3/8 in. x 3 - 1/8 in. Star Drive Low Profile Washer Head RSS Structural Alternative Lag Screws (400-Pack),400~~3/8 in~~3-1/8 in,https://www.homedepot.com/p/GRK-Fasteners-3-8-in-x-3-1-8-in-Star-Drive-Low-Profile-Washer-Head-RSS-Structural-Alternative-Lag-Screws-400-Pack-10273/324707943,"About This Product
GRK RSS Rugged Structural Screw has a patented design and made of specially hardened steel to provide customers with high tensile, torque and shear strength. The sharp threads and points bite instantly into material, including hardwood, reducing the splitting effect due to smaller shanks. The GRK RSS series screws that are 3-1/8 in. and longer have 6-CEE threads which enlarge the screw hole for the non-threaded portion of the fastener, allowing the wood to settle easily and increases the screw's drawing strength.
Highlights:

Ideal for carrying beam, playground equipment, ledger board, deck posts and stair rails Patented climatek coating for all weather corrosion protection Self-tapping W-cut thread design with zip tip May be used as a lag screw alternative Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting No pre-drilling allows faster penetration
Product Information
Internet # 324707943 Model # 10273 Store SKU # 1002475980 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Structural Screws
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Low Profile Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 400
  - Product Weight (lb.): 18.8 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.5 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Visit our website at grkfasteners.com and type in warranty in the search box for detailed warranty information

Dimensions:
  - Screw Length: 3-1/8 in
  - Size: 3/8 in
"
Hardware / Fasteners / Screws / Sheet Metal Screws / Self Piercing Screws,Teks,21452,#10 x 1-1/2 in. Steel External Hex Head Washer Sharp Point Elite Sheet Metal Roofing Screws (100-Pack),100~~1-1/2 in~~#10,https://www.homedepot.com/p/Teks-10-x-1-1-2-in-Steel-External-Hex-Head-Washer-Sharp-Point-Elite-Sheet-Metal-Roofing-Screws-100-Pack-21452/325845218,"About This Product
Teks Elite 10 x 1-1/2 in. Steel External Hex Head Washer Drill Point Sheet Metal Roofing Screws (100-Pack) provides stronger holding power and improved waterproofing. The Maximum seal (TM) washer provides improved coverage of the screw aiding in better waterproofing, even when fasteners are driven at an angle. The Hi-Grip (TM) threading help secure the fastener with stronger holding power, minimizing the need for rework down the road. The new Shank guard (TM) feature reams out the hole during install, protecting the fastener's shaft and washer from sharp metal frays that could strip the protective Climaseal coating. Finally, the self-tap drill point assists in secure metal-to-metal fastening. Overall, Teks Elite fasteners are designed for the Pro. Less rework. More productivity.
Highlights:
- Secure Flashing for Corrugated Roofing without pre-drilling
- Teks Metal Roofing Screws are Corrosion Resistant
- Tap and fasten metal to metal or metal to wood in one motion
Maximum seal self-sealing EPDM washer provides a waterproof seal in harsh outdoor environments, even when driven at an angle Hi-grip threading helps secure the fastener with stronger holding power, minimizing the need for rework New shank guard feature reams out the hole, protecting fastener's shaft and washer from metal frays that could strip the climaseal coating Fast bite (type 17) tip eliminates pre-drilling and provides a fast start for 1-step installation for secure metal-to-wood fastening Premium finish provides exceptional corrosion resistance in harsh outdoor environments Provides secure fastening with strong holding power Highly versatile Common project applications: corrugated roofing, HVAC, steel stud framing, gutters, flashing for corrugated roofing and register vents
Product Information
Internet # 325845218 Model # 21452 Store SKU # 1009835957 Store SO SKU # None","Details:
  - Drive Style: Hex
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Clear Zinc
  - Fastener Type: Self Piercing Sheet Metal Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Washer Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Metal to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 100
  - Product Weight (lb.): 0.01 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 1.6 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 16 TPI

Warranty / Certifications:
  - Manufacturer Warranty: This product is sold ""as is"" without any express or implied warranties. ITW Brands' sole liability, if any, shall be to replace this product or refund the purchase price.

Dimensions:
  - Fastener Length (in.): 1-1/2 in
  - Screw Length: 1-1/2 in
  - Size: #10
"
Hardware / Fasteners / Screws / Deck Screws / Wood Deck Screws,Grip-Rite,PTN114S1,#8 x 1-1/4 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws 1 lb. Box,1-1/4 in~~#6~~Silver~~1 lb,https://www.homedepot.com/p/Grip-Rite-8-x-1-1-4-in-2-Phillips-Bugle-Head-Coarse-Thread-Coated-Exterior-Screws-1-lb-Box-PTN114S1/100170151,"About This Product
Grip-Rite PTN114S1 PrimeGuard #8 x 1-1/4 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Screws feature a sharp point and 10-year coating for quality and value. Designed for exterior, wood to wood applications, the coarse threads reduce splitting and speed installation. Backed by a limited lifetime warranty, these screws are perfect for your weekend DIY projects.
Highlights:
- #8 x 1-1/4 in. screws designed for outdoor construction
- Hand drive fastener for use in exterior wood to wood applications
- Made from high strength steel for robust durability
Used in general woodworking and construction applications Durable steel construction PrimeGuard coated for corrosion and rust resistance #8 x 1-1/4 in. screws designed for wood to wood construction #2 Phillips drive prevents over driving Sharp point and aggressive threads provide maximum holding power 1 lb. box with around 196 #8 x 1-1/4 in. wood construction screws
Product Information
Internet # 100170151 Model # PTN114S1 Store SKU # 131536 Store SO SKU # None","Details:
  - Drive Style: Phillips
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Phosphate
  - Fastener Type: Wood Screw
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Bugle Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior
  - Measurement Standard: ASTM
  - Measurement System: Inches
  - Package Quantity: 196
  - Product Weight (lb.): 1 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.63 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: 10 Year Limited Warranty

Dimensions:
  - Screw Length: 1-1/4 in
  - Size: #6
"
Hardware / Fasteners / Screws / Sheet Metal Screws / Self Piercing Screws,Teks,21400,#9 x 1 in. Steel External Hex Head Washer Sharp Point Roofing Screws (120-Pack),120~~1 in~~#9,https://www.homedepot.com/p/Teks-9-x-1-in-Steel-External-Hex-Head-Washer-Sharp-Point-Roofing-Screws-120-Pack-21400/100128842,"About This Product
Teks 9 x 1 in. Fine Steel Hex-Head Sharp Point Roofing Screws (120-Pack) provide secure metal-to-wood fastening with strong holding power, without the need to pre-drill. The sharp self-piercing point is ideal for fastening corrugated roofing panels to wood structures. A self-sealing EPDM washer provides a waterproof seal and a premium finish provides exceptional corrosion resistance in harsh outdoor environments. Installs with a standard screw gun and a 1/4 in. hex drive bit.
Highlights:
- Secure Flashing for Corrugated Roofing without pre-drilling
- Teks Metal Roofing Screws are Corrosion Resistant
- Tap and fasten metal to metal or metal to wood in one motion
Ideal for metal to wood applications and provides exceptional corrosion resistance especially when fastening roofing panels to wood structures Self-sealing EPDM washer provides a waterproof seal in harsh outdoor environments High performance drive surfaces and hex head reduce camp-outs to penetrate surface the first time for easy installation Zinc based with Thermalset polyesther metal filled coating (metal in coating is zinc) Precise sharp point designed to drill, tap and fasten all in 1 motion No pre-drilling necessary Provides secure fastening with strong holding power Highly versatile Common project applications: corrugated roofing, HVAC, steel stud framing, gutters, flashing for corrugated roofing and register vents
Product Information
Internet # 100128842 Model # 21400 Store SKU # 183948 Store SO SKU # None","Details:
  - Drive Style: Hex
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Self Piercing Sheet Metal Screws
  - Features: No Additional Features
  - Grade: Not Graded
  - Head Style: Washer Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Metal to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 120
  - Product Weight (lb.): .009 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 1.7 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 15 TPI

Warranty / Certifications:
  - Manufacturer Warranty: This product is sold ""as is"" without any express or implied warranties. ITW Brands' sole liability, if any, shall be to replace this product or refund the purchase price.

Dimensions:
  - Fastener Length (in.): 1 in
  - Screw Length: 1 in
  - Size: #9
"
Hardware / Fasteners / Screws / Structural Screws,GRK Fasteners,12155,1/4 in. x 2 in. Star Drive Low Profile Washer Head RSS Structural Alternative Lag Screws (50-Pack),50~~1/4 in~~2 in,https://www.homedepot.com/p/GRK-Fasteners-1-4-in-x-2-in-Star-Drive-Low-Profile-Washer-Head-RSS-Structural-Alternative-Lag-Screws-50-Pack-12155/321860567,"About This Product
GRK RSS Rugged Structural Screw has a patented design and made of specially hardened steel to provide customers with high tensile, torque and shear strength. The sharp threads and points bite instantly into material, including hardwood, reducing the splitting effect due to smaller shanks. The GRK RSS series screws that are 3-1/8 in. and longer have 6-CEE threads which enlarge the screw hole for the non-threaded portion of the fastener, allowing the wood to settle easily and increases the screw's drawing strength.
Highlights:
- Easy to install lag screw alternative
- Integrated washer head allows for maximum clamping force
- Stainless Steel for superior Corrosion Resistance
Ideal for carrying beam, playground equipment, ledger board, deck posts and stair rails Patented climatek coating for all weather corrosion protection Self-tapping W-cut thread design, zip-tip Includes: 100 screws May be used as a lag screw alternative Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting No pre-drilling allows faster penetration
Product Information
Internet # 321860567 Model # 12155 Store SKU # 1002475999 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Structural Screws
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Low Profile Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 50
  - Product Weight (lb.): 0.8 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.5 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Climatek coated and PHEINOX stainless steel screws will not rust under normal environmental conditions when used in accordance with the recommendations listed in GRK's Screw Selection Guide for the life of the project.

Dimensions:
  - Screw Length: 2 in
  - Size: 1/4 in
"
Lumber & Composites / Decking / Deck Hardware / Hidden Deck Fasteners,Trex,DA00002,Trex Hideaway Hidden Deck Fasteners 500 sq.ft. Combo Pack,880,https://www.homedepot.com/p/Trex-Trex-Hideaway-Hidden-Deck-Fasteners-500-sq-ft-Combo-Pack-DA00002/328393309,"About This Product
Did you know that all Trex decking lines come with a hidden installation option. Trex Hideaway Universal Hidden Fasteners are subsurface clips that install grooved deck boards without deck screws, creating a smooth and seamless walking surface. This fastener system comes packaged in a combo pack with start clips included.
Highlights:
- Hidden fastener connector clip for grooved deck boards
- Stainless steel construction ensures durability and strength
- Includes start clips to facilitate easy installation
Trex hideaway hidden fastener connector clip Made of stainless steel Use with out hidden fastener instillation tool for even faster and easier instillation Provides a seamless look Screws are preset for easy installation Gaps deck boards for proper ventilation and drainage Starter clips sold separately Includes 880 Hideaway Hidden Fasteners with Screws, 2 Butt Joint Clips and A Drive Bit <a href=""https://www.homedepot.com/c/how_to_select_right_structural_lumber_for_posts_beams_joists_HT_BG_LC"" target=""_blank"" style=""color:#F96302;"">Click to learn how to select the right lumber for your project</a>
Product Information
Internet # 328393309 Model # DA00002 Store SKU # 1012311212 Store SO SKU # None","Details:
  - Color Family: Black
  - Decking Hardware Type: Hidden Deck Fasteners
  - Fastener Color: Black
  - Fastener Material: Other
  - Included: No Additional Items Included
  - Number in Package: 880
  - Returnable: 90-Day
  - Thread Style: Spiral Thread
  - Total Product Weight (lb.): 12.1

Warranty / Certifications:
  - Manufacturer Warranty: 25 year limited residential warranty

Dimensions:
  - Individual Product Height (in.): 32
  - Individual Product Width (in.): 19 in
  - Individual product length (in.): 7.5 in
  - Product Depth (in.): 7.5 in
  - Product Height (in.): 32 in
  - Product Width (in.): 19 in
  - Square Footage Coverage per Package (sq. ft.): 500
"
Hardware / Fasteners / Screws / Structural Screws,GRK Fasteners,12223,5/16 in. x 3-1/2 in. Star Drive Low Profile Washer Head RSS Structural Alternative Lag Screws (100-Pack),100~~5/16 in~~3-1/2 in,https://www.homedepot.com/p/GRK-Fasteners-5-16-in-x-3-1-2-in-Star-Drive-Low-Profile-Washer-Head-RSS-Structural-Alternative-Lag-Screws-100-Pack-12223/321860629,"About This Product
GRK RSS Rugged Structural Screw has a patented design and made of specially hardened steel to provide customers with high tensile, torque and shear strength. The sharp threads and points bite instantly into material, including hardwood, reducing the splitting effect due to smaller shanks. The GRK RSS series screws that are 3-1/8 in. and longer have 6-CEE threads which enlarge the screw hole for the non-threaded portion of the fastener, allowing the wood to settle easily and increases the screw's drawing strength.
Highlights:
- Easy to install lag screw alternative
- Integrated washer head allows for maximum clamping force
- Stainless Steel for superior Corrosion Resistance
Ideal for carrying beam, playground equipment, ledger board, deck posts and stair rails Patented climatek coating for all weather corrosion protection Self-tapping W-cut thread design with zip tip Includes: 100 screws May be used as a lag screw alternative Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting No pre-drilling allows faster penetration
Product Information
Internet # 321860629 Model # 12223 Store SKU # 1002476014 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Structural Screws
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Low Profile Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 100
  - Product Weight (lb.): 5 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.5 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 7 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Climatek coated and PHEINOX stainless steel screws will not rust under normal environmental conditions when used in accordance with the recommendations listed in GRK's Screw Selection Guide for the life of the project.

Dimensions:
  - Screw Length: 3-1/2 in
  - Size: 5/16 in
"
Hardware / Fasteners / Screws / Sheet Metal Screws / Self Piercing Screws,Teks,21401,#9-15 x 1 in. External Hex Washer Head Sharp Point Roofing Screw (360-Pack),360~~1 in~~#9,https://www.homedepot.com/p/Teks-9-15-x-1-in-External-Hex-Washer-Head-Sharp-Point-Roofing-Screw-360-Pack-21401/206024079,"About This Product
Teks 9-15 x 1 in. External Hex Washer Head Sharp Point Roofing Screw (360-pack) provides secure metal to metal fastening with strong holding power, without the need to pre-drill. The sharp self-piercing point is ideal for fastening corrugated roofing panels to wood structures. A self-sealing EPDM washer provides a waterproof seal and a premium finish provides exceptional corrosion resistance in harsh outdoor environments. Installs with a standard screw gun and a 1/4 in. hex drive bit.
Highlights:
- Secure Flashing for Corrugated Roofing without pre-drilling
- Teks Metal Roofing Screws are Corrosion Resistant
- Tap and fasten metal to metal or metal to wood in one motion
Ideal for metal to wood applications and provides exceptional corrosion resistance especially when fastening roofing panels to wood structures Self-sealing EPDM washer provides a waterproof seal in harsh outdoor environments High performance drive surfaces and hex head reduce cam-outs to penetrate surface the first time for easy installation Zinc based with Thermalset polyesther metal filled coating (metal in coating is zinc) Precise sharp point designed to drill, tap and fasten all in 1 motion No pre-drilling necessary Provides secure fastening with strong holding power Highly versatile Common project applications: corrugated roofing, HVAC, steel stud framing, gutters, flashing for corrugated roofing and register vents
Product Information
Internet # 206024079 Model # 21401 Store SKU # 1001412268 Store SO SKU # None","Details:
  - Drive Style: Hex
  - Fastener Color: Silver
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Self Piercing Sheet Metal Screws
  - Features: ACQ Rated
  - Grade: Not Graded
  - Head Style: Washer Head
  - Included: No Additional Items Included
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Metal to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 360
  - Product Weight (lb.): 2.484 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 1.7 mm
  - Thread Style: Coarse Thread
  - Threads Per Inch (TPI): 15 TPI

Warranty / Certifications:
  - Manufacturer Warranty: This product is sold ""as is"" without any express or implied warranties. ITW Brands' sole liability, if any, shall be to replace this product or refund the purchase price.

Dimensions:
  - Fastener Length (in.): 1 in
  - Screw Length: 1 in
  - Size: #9
"
Hardware / Fasteners / Screws / Structural Screws,GRK Fasteners,12275,3/8 in. x 4 in. Star Drive Low Profile Washer Head RSS Structural Alternative Lag Screws (50-Pack),50~~3/8 in~~4 in,https://www.homedepot.com/p/GRK-Fasteners-3-8-in-x-4-in-Star-Drive-Low-Profile-Washer-Head-RSS-Structural-Alternative-Lag-Screws-50-Pack-12275/321860630,"About This Product
GRK RSS Rugged Structural Screw has a patented design and made of specially hardened steel to provide customers with high tensile, torque and shear strength. The sharp threads and points bite instantly into material, including hardwood, reducing the splitting effect due to smaller shanks. The GRK RSS series screws that are 3-1/8 in. and longer have 6-CEE threads which enlarge the screw hole for the non-threaded portion of the fastener, allowing the wood to settle easily and increases the screw's drawing strength.
Highlights:
- Easy to install lag screw alternative
- Integrated washer head allows for maximum clamping force
- Stainless Steel for superior Corrosion Resistance
Ideal for carrying beam, playground equipment, ledger board, deck posts and stair rails Patented climatek coating for all weather corrosion protection Self-tapping W-cut thread design with zip tip Includes: 50 screws May be used as a lag screw alternative Recessed star drive allows for zero stripping with 6 points of contact CEE thread enlarges hole to reduce splitting No pre-drilling allows faster penetration
Product Information
Internet # 321860630 Model # 12275 Store SKU # 1002476012 Store SO SKU # None","Details:
  - Drive Style: Torx
  - Fastener Color: Brass
  - Fastener Material: Carbon Steel
  - Fastener Plating: Electro Galvanized Zinc
  - Fastener Type: Structural Screws
  - Features: ACQ Rated,Self Tapping
  - Grade: Not Graded
  - Head Style: Low Profile Head
  - Included: Driver Bit
  - Interior/Exterior: Exterior,Interior
  - Materials Fastened: Wood to Wood
  - Measurement Standard: SAE
  - Measurement System: Inches
  - Package Quantity: 50
  - Product Weight (lb.): 3.15 lb
  - Returnable: 90-Day
  - Thread Pitch (mm): 3.5 mm
  - Thread Style: W-Cut Thread
  - Threads Per Inch (TPI): 8 TPI

Warranty / Certifications:
  - Manufacturer Warranty: Climatek coated and PHEINOX stainless steel screws will not rust under normal environmental conditions when used in accordance with the recommendations listed in GRK's Screw Selection Guide for the life of the project.

Dimensions:
  - Screw Length: 4 in
  - Size: 3/8 in
"
