Category,Brand,Model,Product Name,SKU Variation,Product Link,Description,Specification
Hardware / Metal Stock / Flat Bars,Everbilt,801947,3/4 in. x 36 in. Aluminum Flat Bar with 1/8 in. Thick,36 in~~0.75 in,https://www.homedepot.com/p/Everbilt-3-4-in-x-36-in-Aluminum-Flat-Bar-with-1-8-in-Thick-801947/204273954,"About This Product
The Aluminum Flat Bar has versatile uses for supporting braces, ladder hangers and gate latches, These aluminum bars come in a variety of sizes and materials including aluminum, zinc and steel. Flat bars may be cut to a custom length to support your project needs.
Highlights:
- Frequently used to support braces, ladder hangers or gate latches
- Use a metal saw for cutting to suit your project needs
- Extremely durable, lightweight and corrosion-resistant
Includes 1-piece per package Features sturdy and strong aluminum construction Aluminum finish Dimensions measure 3/4 in. x 1/8 in. x 36 in.
Product Information
Internet # 204273954 Model # 801947 Store SKU # 482668 Store SO SKU # None","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: No
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Flat/ Bars/Tube/Nonthreaded Rod
  - Package Quantity: 1
  - Product Weight (lb.): 0.33 lb
  - Production Type: Other
  - Returnable: 90-Day
  - Slotted: Unslotted
  - Type: Unslotted flat

Warranty / Certifications:
  - Manufacturer Warranty: None

Dimensions:
  - Product Depth (in.): 0.125984252 in
  - Product Height (in.): 36 in
  - Product Length (in.): 36 in
  - Product Thickness (in.): 0.12 in
  - Product Width (in.): 0.75 in
"
Hardware / Metal Stock / Flat Bars,Everbilt,801987,1-1/2 in. x 48 in. Aluminum Flat Bar with 1/8 in. Thick,48 in~~1.5 in,https://www.homedepot.com/p/Everbilt-1-1-2-in-x-48-in-Aluminum-Flat-Bar-with-1-8-in-Thick-801987/204273937,"About This Product
The Aluminum Flat Bar has versatile uses for supporting braces, ladder hangers and gate latches, These aluminum bars come in a variety of sizes and materials including aluminum, zinc and steel. Flat bars may be cut to a custom length to support your project needs.
Highlights:
- Frequently used to support braces, ladder hangers or gate latches
- Use a metal saw for cutting to suit your project needs
- Extremely durable, lightweight and corrosion-resistant
Includes 1-piece per package Features sturdy, steel construction Aluminum finish Dimensions measure 1-1/2 in. x 1/8 in. x 48 in.
Product Information
Internet # 204273937 Model # 801987 Store SKU # 483121 Store SO SKU # None","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: No
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Flat/ Bars/Tube/Nonthreaded Rod
  - Package Quantity: 1
  - Product Weight (lb.): 0.88 lb
  - Returnable: 90-Day
  - Slotted: Unslotted
  - Type: Unslotted flat

Warranty / Certifications:
  - Manufacturer Warranty: None

Dimensions:
  - Product Depth (in.): 0.125984252 in
  - Product Height (in.): 48 in
  - Product Length (in.): 48 in
  - Product Thickness (in.): 0.12 in
  - Product Width (in.): 1.5 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,56022,12 in. x 24 in. x .073 in. Diamond Tred Aluminum Sheet Metal in Silver,Silver Metallic~~12in x 24 in~~.073 in,https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-x-073-in-Diamond-Tred-Aluminum-Sheet-Metal-in-Silver-56022/100237491,"About This Product
This is a rugged MD Building Products Diamondtred 12 in. x 24 in. x 1/16 in. aluminum sheet metal offers a tread-plate design to help protect slippery, high-traffic indoor and outdoor areas. It can also be used for little projects around the house. You might find a use for it in the garage as well.
Highlights:
- Aluminum sheets and shapes are lightweight and wear-resistant
- Diamond-tread pattern provides grip to prevent skidding/slipping
- Silver metallic finish gives a shiny and lustrous visual appeal
Aluminum construction 0.073 in. Corrosion and rust-resistant for indoor and outdoor use 12 in. x 24 in. Non-slid tread-plate pattern Smooth out any sharp edges with a file or emery cloth to reduce risk of injury when working with any metal sheets
Product Information
Internet # 100237491 Model # 56022 Store SKU # 1001195210 Store SO SKU # None","Details:
  - Connector Coating: None
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: No
  - Product Weight (lb.): 1.84 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Product Depth (in.): 0.08 in
  - Product Height (in.): 23.875 in
  - Product Length (in.): 24 in
  - Product Thickness (in.): .073 in
  - Product Width (in.): 12 in
  - Width (in) x Length (in): 12in x 24 in
"
Hardware / Metal Stock / Flat Bars,Everbilt,801927,1 in. x 48 in. Aluminum Flat Bar with 1/8 in. Thick,48 in~~1 in,https://www.homedepot.com/p/Everbilt-1-in-x-48-in-Aluminum-Flat-Bar-with-1-8-in-Thick-801927/204274000,"About This Product
Perfect for supporting braces, ladder hangers, gate latches and many more projects where a flat bar is commonly utilized. There are several types of common bars including: flat, punched whole and slotted hole. Everbilt exclusively offers a variety of sizes to suit the individual needs of your job or project and may be cut to desired length.
Highlights:
- Frequently used to support braces, ladder hangers or gate latches
- Use a metal saw for cutting to suit your project needs
- Extremely durable, lightweight and corrosion-resistant
1-piece per pack Aluminum construction Aluminum finish 1 in. x 1/8 in. x 48 in.
Product Information
Internet # 204274000 Model # 801927 Store SKU # 482552 Store SO SKU # 1000240305","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: No
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Flat/ Bars/Tube/Nonthreaded Rod
  - Package Quantity: 1
  - Product Weight (lb.): 0.59 lb
  - Production Type: Other
  - Returnable: 90-Day
  - Slotted: Slotted
  - Type: Slotted flat

Warranty / Certifications:
  - Manufacturer Warranty: none

Dimensions:
  - Product Depth (in.): 0.125984252 in
  - Product Height (in.): 48 in
  - Product Length (in.): 48 in
  - Product Thickness (in.): 0.125 in
  - Product Width (in.): 1 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,57306,12 in. x 24 in. x 0.025 in. Diamond Tread Aluminum Sheet in Silver,Silver Metallic~~12in x 24 in~~.025 in,https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-x-0-025-in-Diamond-Tread-Aluminum-Sheet-in-Silver-57306/203930813,"About This Product
Light-duty aluminum sheet with bright non-skid tread plate finish. Will not rust or corrode. Tread plate design is used for decorative crafts and hobby projects. Recommended for indoor or outdoor uses.
Highlights:
- Rust-resistant for increased protection
- Durable aluminum construction for lasting use
- Ideal to use for crafts and hobby projects
0.025 in. thick Bright finish light aluminum tread plate Use sheet metal screws or rivets to attach to other materials Can be cut with tin snips
Product Information
Internet # 203930813 Model # 57306 Store SKU # 1001206881 Store SO SKU # None","Details:
  - Connector Coating: None
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: No
  - Product Weight (lb.): .712 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: NO

Dimensions:
  - Product Depth (in.): 0.025 in
  - Product Height (in.): 24 in
  - Product Length (in.): 24 in
  - Product Thickness (in.): .025 in
  - Product Width (in.): 12 in
  - Width (in) x Length (in): 12in x 24 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,56008,12 in. x 24 in. Union Jack Aluminum Sheet in Silver,Silver Metallic~~12in x 24 in~~.02 in,https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-Union-Jack-Aluminum-Sheet-in-Silver-56008/100250804,"About This Product
The MD Building Products 12 in. x 24 in. x 1/32 in. Mill Aluminum Union-Jack-Style Perforated Sheet has many uses and is easy to work with. It can be used for hvac projects, door-and-window security, cabinet ventilation and room dividers. The aluminum material resists rust and corrosion.
Highlights:
- Use for door and window security, cabinet ventilation and more
- Corrosion-resistant sheet can be used indoors or outdoors
- Easy to cut, form and fabricate for your project needs
0.020 in. Thick Easy to cut, form and fabricate using tin snips Indoors and outdoors usage Use sheet metal screws or rivets to attach to other materials Aluminum construction Smooth sharp edges with a file or an emery cloth to reduce the risk of injury
Product Information
Internet # 100250804 Model # 56008 Store SKU # 1001195144 Store SO SKU # None","Details:
  - Connector Coating: None
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: Yes
  - Product Weight (lb.): .663 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Product Depth (in.): 0.02 in
  - Product Height (in.): 24 in
  - Product Length (in.): 24 in
  - Product Thickness (in.): .02 in
  - Product Width (in.): 12 in
  - Width (in) x Length (in): 12in x 24 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,56000,24 in. x 36 in. Union Jack Aluminum in Black,Black~~24in x 36 in~~0.019 in,https://www.homedepot.com/p/M-D-Building-Products-24-in-x-36-in-Union-Jack-Aluminum-in-Black-56000/205058563,"About This Product
MD Building Products provides a full assortment of aluminum shapes and sheets for any project you may encounter. Easy to cut, form and fabricate. Aluminum material will not rust or corrode. Perforated, decorative design is great for door and window security, plumbing, heating and ventilation projects, radiator heater enclosures, craft and hobby projects, room dividers, cabinet ventilation and more.
Highlights:
- Aluminum construction resists rust and corrosion
- Ideal for plumbing, heating, and ventilation projects
- Cut to get the required length
0.020 in. thick Black finish, perforated aluminum sheet Can be cut with tin snips Use sheet metal screws or rivets to attach to other materials Use indoors or outdoors resists corrosion Smooth sharp edges with a file or an emery cloth to reduce the risk of injury
Product Information
Internet # 205058563 Model # 56000 Store SKU # 1000749468 Store SO SKU # None","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Black
  - Hardware Color Family: Black
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: Yes
  - Product Weight (lb.): 1 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: NONE

Dimensions:
  - Product Depth (in.): 0.019 in
  - Product Height (in.): 36 in
  - Product Length (in.): 36 in
  - Product Thickness (in.): 0.019 in
  - Product Width (in.): 24 in
  - Width (in) x Length (in): 24in x 36 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,56064,12 in. x 24 in. Plain Aluminum Sheet in Silver,Silver Metallic~~12in x 24 in~~.019,https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-Plain-Aluminum-Sheet-in-Silver-56064/202091748,"About This Product
The MD Building Products provides a full assortment of aluminum shapes and sheets for any project you may encounter. Easy to cut, form and fabricate. Will not rust or corrode. Great for roof repair, work bench tops and many other home and shop projects. Recommended for indoor or outdoor uses.
Highlights:
- Durable aluminum construction for lasting use
- Rust-resistant for increased protection
- Ideal for roof repair, bench tops and other home, shop projects
Great for use in crafts and hobbies Excellent for a variety of home or home-repair projects such as door or window screens, room dividers and cabinet fronts Made of aluminum Mill finish Will not rust Easy to form and cut Lightweight and strong
Product Information
Internet # 202091748 Model # 56064 Store SKU # 1001204408 Store SO SKU # None","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Aluminum
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: No
  - Product Weight (lb.): 0.542 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Product Depth (in.): 0.019 in
  - Product Height (in.): 24 in
  - Product Length (in.): 24 in
  - Product Thickness (in.): .019
  - Product Width (in.): 12 in
  - Width (in) x Length (in): 12in x 24 in
"
Hardware / Metal Stock / Sheet Metal,M-D Building Products,56026,12 in. x 24 in. x .035 Diamond Tred Faux Metal Diamond Tread Sheet in Silver,Silver Metallic~~12in x 24 in~~.035 in,https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-x-035-Diamond-Tred-Faux-Metal-Diamond-Tread-Sheet-in-Silver-56026/100272599,"About This Product
Use the MD Building Products 2 ft. x 1 ft. x 1/8 in. polished silver plastic faux metal Diamondtred sheet as an alternative to steel or aluminum sheets. This tread sheet is easy to cut with an utility knife. Get the beauty of Diamondtred and convenience of polished plastic.
Highlights:
- Works as an alternative to steel or aluminum sheets
- High-quality plastic construction offers durability
- Can be easily cut for smooth and convenient use
For indoor use as an alternative to steel or aluminum sheets Plastic construction Rust and corrosion-resistant 24 in. Long x 12 in. Wide x 1/8 in. Thick Polished silver finish Diamond tread pattern Easy to cut, form or fabricate Use contact adhesive or 2-sided tape for attachment to other materials
Product Information
Internet # 100272599 Model # 56026 Store SKU # 474738 Store SO SKU # None","Details:
  - Connector Coating: None
  - Corrosion Resistant: Yes
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor
  - Material: Plastic
  - Measurement System: Inches
  - Metal Stock Type: Sheet Metal
  - Package Quantity: 1
  - Perforated: No
  - Product Weight (lb.): 0.47 lb
  - Returnable: 90-Day
  - Weldable: No

Warranty / Certifications:
  - Manufacturer Warranty: No

Dimensions:
  - Product Depth (in.): 0.04 in
  - Product Height (in.): 12 in
  - Product Length (in.): 24 in
  - Product Thickness (in.): .035 in
  - Product Width (in.): 12 in
  - Width (in) x Length (in): 12in x 24 in
"
Hardware / Metal Stock / Angles,Everbilt,800127,1-1/4 in. x 96 in. Zinc-Plated Slotted Angle,96 in~~1.25 in,https://www.homedepot.com/p/Everbilt-1-1-4-in-x-96-in-Zinc-Plated-Slotted-Angle-800127/204325589,"About This Product
Crown Bolt's metal angle is commonly used for constructing bicycle racks, bed frames, motor mounts, and many other utility functions. Common types of angles include: flat, flat offset hole, punched whole, slotted whole and slotted offset hole. Slotted and punched whole angle is often selected for use in metal racks, storage shelving, garage door track frames and corner bracing. Angles are available in a variety of sizes and materials, and can be cut to length to suit your specific job requirements.
Highlights:
- Great for use in metal racks, storage shelving and corner bracing
- Provides a perfect 90-degree angle
- Zinc-plated for corrosion resistance
1-piece Steel construction Zinc plated 1-1/4 in. x 96 in. 18-Gauge
Product Information
Internet # 204325589 Model # 800127 Store SKU # 206394 Store SO SKU # 206394","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: No
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Steel
  - Measurement System: Inches
  - Metal Stock Type: Other Metal Stock
  - Package Quantity: 1
  - Product Weight (lb.): 2.9 lb
  - Production Type: Cold Rolled
  - Returnable: 2-Day
  - Slotted: Slotted
  - Type: Slotted flat

Warranty / Certifications:
  - Manufacturer Warranty: None

Dimensions:
  - Product Depth (in.): 0.125 in
  - Product Height (in.): 96 in
  - Product Length (in.): 96 in
  - Product Thickness (in.): 0.125 in
  - Product Width (in.): 1.25 in
"
Hardware / Metal Stock / Flat Bars,Everbilt,800267,3/4 in. x 72 in. Plain Flat Bar,72 in~~0.750 in,https://www.homedepot.com/p/Everbilt-3-4-in-x-72-in-Plain-Flat-Bar-800267/204604764,"About This Product
The Plain Flat Bar has versatile uses for supporting braces, ladder hangers and gate latches, These steel bars come in a variety of sizes and materials including aluminum, zinc and steel. Flat bars may be cut to a custom length to support your project needs.
Highlights:
- Frequently used to support braces, ladder hangers or gate latches
- Suitable for indoor or outdoor use
- Features long-lasting durable steel construction
Includes 1-piece Features sturdy, steel construction Features a plain finish and available in a variety of sizes and materials Dimensions measure 72 in. length
Product Information
Internet # 204604764 Model # 800267 Store SKU # 238626 Store SO SKU # None","Details:
  - Connector Coating: N/A
  - Corrosion Resistant: No
  - Fastener Type: Metal Stock
  - Finish Family: Silver Metallic
  - Hardware Color Family: Silver
  - Indoor/Outdoor: Indoor/Outdoor
  - Material: Steel
  - Measurement System: Inches
  - Metal Stock Type: Flat/ Bars/Tube/Nonthreaded Rod
  - Package Quantity: 1
  - Product Weight (lb.): 1.91 lb
  - Production Type: Hot Rolled
  - Returnable: 90-Day
  - Slotted: Unslotted
  - Type: Bar

Warranty / Certifications:
  - Manufacturer Warranty: None

Dimensions:
  - Product Depth (in.): 0.75 in
  - Product Height (in.): 72 in
  - Product Length (in.): 72 in
  - Product Thickness (in.): 0.125 in
  - Product Width (in.): 0.750 in
"
